# theta   E(theta)
6.813455457176676236e-03 0.000000000000000000e+00
4.896671474599185309e-02 0.000000000000000000e+00
1.504711624247622725e-01 0.000000000000000000e+00
2.108547681079795399e-01 8.415943459044473000e-84
2.576570438280363917e-01 0.000000000000000000e+00
2.976519225954656900e-01 4.035453302235522235e-75
3.334517790794032099e-01 3.758134088705993321e-71
3.664192300069686881e-01 4.609398176775646933e-64
3.972235542200538427e-01 9.199706800168110724e-59
4.263568685141672643e-01 0.000000000000000000e+00
4.541866200966221401e-01 7.486092606495968145e-50
4.809752712583564294e-01 0.000000000000000000e+00
5.069087327887845662e-01 2.279542604899131960e-42
5.320569946321567212e-01 0.000000000000000000e+00
5.565403520051526165e-01 3.219665763017225402e-36
5.804812873102100923e-01 0.000000000000000000e+00
6.039760367206731262e-01 6.637181316653678475e-31
6.266309068001345572e-01 0.000000000000000000e+00
6.483890307188913127e-01 1.488925553920879054e-26
6.693707036936233923e-01 0.000000000000000000e+00
6.896634131546430790e-01 0.000000000000000000e+00
7.094027646189354774e-01 1.209853950991238211e-20
7.287046789316645734e-01 0.000000000000000000e+00
7.476041510649553690e-01 3.490601682699136032e-17
7.661383631766908175e-01 0.000000000000000000e+00
7.843576205393008038e-01 3.876434737061061321e-15
8.023341002827931723e-01 4.897839317456865751e-13
8.201421667229337187e-01 0.000000000000000000e+00
8.377096427297144876e-01 4.520236029544070962e-10
8.549577896158541135e-01 0.000000000000000000e+00
8.719128536104461258e-01 0.000000000000000000e+00
8.886513862150143828e-01 1.661731258158430950e-06
9.052696236029029730e-01 0.000000000000000000e+00
9.217347579877441799e-01 4.113183981400878823e-04
9.379308685243740173e-01 0.000000000000000000e+00
9.538623295843081662e-01 0.000000000000000000e+00
9.696428748269529940e-01 7.483600478947448620e-01
9.852287605371521373e-01 0.000000000000000000e+00
1.000606863600358665e+00 3.748855043193927372e+01
